event_type,date_from,date_to,origin,destination,num_adults,num_children,look_on,days_before_plan,trip_duration,distance
search,12/06/17,16/06/17,HAM,IEV,1,0,29/04/17,44,4,1439.962892
search,02/05/17,08/05/17,PAR,NYC,1,0,29/04/17,3,6,5837.819962
search,22/05/17,24/05/17,DUS,BER,2,0,29/04/17,23,2,475.7855288
search,01/05/17,02/05/17,BER,BCN,2,0,29/04/17,2,1,1511.772392
search,06/05/17,06/05/17,BER,ZRH,1,0,29/04/17,7,0,669.6288741
search,06/07/17,09/07/17,CGN,BER,2,0,29/04/17,68,3,478.5795164
search,11/07/17,15/07/17,TLS,GVA,1,0,29/04/17,73,4,473.0682746
book,27/04/17,02/05/17,FRA,PMI,1,0,24/04/17,3,5,1253.112736
book,23/09/17,29/10/17,BOM,DUS,2,0,24/04/17,152,36,6710.938643
search,30/04/17,02/05/17,CDG,NCE,1,0,23/04/17,7,2,692.3866599
search,14/05/17,19/05/17,BER,TYO,1,0,23/04/17,21,5,8915.756329
book,29/05/17,02/06/17,BER,AYT,2,0,24/04/17,35,4,2196.956894
search,05/07/17,10/07/17,DUS,LIS,2,2,24/04/17,72,5,1861.509968
search,14/09/17,24/09/17,DUS,HKT,3,1,23/04/17,144,10,9436.724192
book,06/05/17,08/05/17,DUS,BER,2,0,29/04/17,7,2,475.7855288
search,19/03/18,05/04/18,DUS,BKK,2,0,29/04/17,324,17,9096.77311
search,03/05/17,05/05/17,DUS,LON,2,0,29/04/17,4,2,481.9883184
search,05/05/17,08/05/17,PAR,VIE,1,0,30/04/17,5,3,1033.360043
search,12/10/17,23/10/17,DUS,PMI,2,0,29/04/17,166,11,1340.644678
search,20/07/17,27/07/17,TXL,PMI,2,0,29/04/17,82,7,1657.396933
search,20/07/17,22/07/17,PAR,NCE,2,0,30/04/17,81,2,685.9038717
search,30/04/17,30/04/17,DUS,PAR,2,0,30/04/17,0,0,415.2550407
book,26/07/17,09/08/17,FRA,MOW,1,0,29/04/17,88,14,2037.639547
search,03/05/17,06/05/17,HAM,LHR,1,0,29/04/17,4,3,745.01561
search,22/05/17,22/05/17,SAW,CGN,1,0,29/04/17,23,0,2045.548581
search,05/05/17,07/05/17,FRA,TXL,1,0,29/04/17,6,2,431.882812
search,05/05/17,07/05/17,FRA,TXL,1,0,29/04/17,6,2,431.882812
search,05/05/17,07/05/17,FRA,TXL,1,0,29/04/17,6,2,431.882812
search,12/10/17,23/10/17,DUS,PMI,2,0,29/04/17,166,11,1340.644678
search,17/06/17,21/06/17,FRA,OPO,2,0,27/04/17,51,4,1652.229257
search,03/09/17,10/09/17,CGN,BUD,1,0,27/04/17,129,7,955.9420133
search,30/05/17,30/05/17,STR,TXL,2,0,27/04/17,33,0,517.9050151
search,10/06/17,13/06/17,PAR,MRS,2,1,28/04/17,43,3,659.767074
search,12/10/17,12/10/17,PRG,CPH,3,1,28/04/17,167,0,626.1055791
book,18/05/17,20/05/17,PAR,TLS,3,1,29/04/17,19,2,585.3951211
search,05/07/17,11/07/17,DUS,ESB,1,0,29/04/17,67,6,2365.199043
search,14/11/17,30/11/17,FRA,NYC,2,2,28/04/17,200,16,6198.492311
search,28/04/17,28/04/17,LON,STR,2,0,28/04/17,0,0,737.102732
search,27/05/17,02/06/17,PAR,BCN,1,0,28/04/17,29,6,839.7878079
search,14/06/17,15/06/17,HAM,MUC,2,0,28/04/17,47,1,600.4217954
search,20/06/17,23/06/17,FRA,BER,1,0,28/04/17,53,3,435.5455373
book,03/05/17,05/05/17,DUS,LON,2,0,29/04/17,4,2,481.9883184
book,03/05/17,03/05/17,HAM,ZRH,1,0,29/04/17,4,0,703.4520107
search,16/05/17,23/05/17,HAM,BCN,2,0,29/04/17,17,7,1492.228532
search,23/11/17,30/11/17,BER,ALC,1,0,29/04/17,208,7,1905.184592
search,30/06/17,07/07/17,BER,PMI,2,0,30/04/17,61,7,1658.215308
search,25/06/17,25/06/17,CHI,BER,2,0,29/04/17,57,0,7087.160306
search,19/05/17,19/05/17,SAW,CGN,1,0,29/04/17,20,0,2045.548581
search,19/07/17,22/07/17,PAR,BCN,2,0,01/05/17,79,3,839.7878079
book,03/10/17,07/10/17,HAM,BHX,2,0,02/05/17,154,4,794.8380307
book,04/07/17,08/07/17,MUC,CPH,1,0,02/05/17,63,4,810.56224
search,24/05/17,31/05/17,FRA,DXB,3,0,01/05/17,23,7,4844.0715
search,01/08/17,05/08/17,HAM,PMI,2,0,01/05/17,92,4,1658.78585
search,17/05/17,21/05/17,SGN,HAN,2,0,02/05/17,15,4,1137.319438
search,18/12/17,23/12/17,PAR,ATH,2,0,01/05/17,231,5,2112.758233
search,08/06/17,14/06/17,DUS,IST,2,0,01/05/17,38,6,2042.454111
search,09/08/17,17/08/17,CGN,ROM,2,0,27/04/17,104,8,1091.072563
search,29/04/17,29/04/17,DUS,DUB,1,0,27/04/17,2,0,915.6507211
search,24/05/17,26/05/17,PAR,LON,2,0,27/04/17,27,2,344.9646887
search,18/05/17,18/05/17,DUS,NAS,1,0,28/04/17,20,0,7464.668969
search,11/06/17,15/06/17,HAM,LIS,2,0,24/04/17,48,4,2198.05822
search,27/07/17,27/07/17,HEL,GVA,2,1,24/04/17,94,0,1992.68978
search,13/06/17,18/06/17,DUS,DUB,2,0,24/04/17,50,5,915.6507211
search,29/04/17,29/04/17,STR,IST,1,0,24/04/17,5,0,1768.314752
search,07/07/17,14/07/17,PAR,LIS,2,1,24/04/17,74,7,1447.103771
search,30/05/17,30/05/17,IST,STR,1,0,25/04/17,35,0,1768.314752
search,05/08/17,05/08/17,STR,SAW,1,0,24/04/17,103,0,1800.029721
search,20/06/17,20/06/17,JFK,MIA,2,0,25/04/17,56,0,1757.425693
search,27/05/17,31/05/17,BER,ROM,2,0,24/04/17,33,4,1183.930547
search,25/04/17,28/04/17,HAM,MAN,1,0,24/04/17,1,3,810.6752939
search,27/06/17,30/06/17,CGN,LON,2,0,24/04/17,64,3,499.7555161
search,08/05/17,08/05/17,AMS,MUC,1,0,24/04/17,14,0,662.3415476
search,25/04/17,28/04/17,HAM,MAN,1,0,24/04/17,1,3,810.6752939
search,09/06/17,15/06/17,CGN,ARN,1,0,30/04/17,40,6,1189.478894
book,06/07/17,14/07/17,DUS,MOW,3,0,27/04/17,70,8,2085.574739
book,25/11/17,28/11/17,STR,VIE,2,0,27/04/17,212,3,531.2933232
search,15/05/17,19/05/17,DUS,LON,2,0,27/04/17,18,4,481.9883184
search,17/06/17,19/06/17,DUS,VIE,4,0,27/04/17,51,2,768.8327305
search,28/04/17,01/05/17,NYC,DUS,1,0,27/04/17,1,3,6027.61189
search,07/06/17,10/06/17,PAR,ROM,2,0,28/04/17,40,3,1106.735629
search,10/05/17,10/05/17,TXL,CPH,1,0,27/04/17,13,0,342.724228
search,14/06/17,19/06/17,BER,FCO,5,0,27/04/17,48,5,1196.299006
search,08/10/17,11/10/17,BER,CGN,2,0,27/04/17,164,3,478.5795164
search,24/10/17,31/10/17,SXF,AGP,2,0,27/04/17,180,7,2243.639569
search,10/05/17,19/05/17,BER,AYT,2,0,27/04/17,13,9,2196.956894
book,23/10/17,08/11/17,CDG,AGP,2,0,27/04/17,179,16,1486.074955
search,25/11/17,28/11/17,STR,VIE,2,0,27/04/17,212,3,531.2933232
search,13/05/17,15/05/17,FRA,TXL,2,1,27/04/17,16,2,431.882812
search,19/06/17,19/06/17,MUC,BCN,4,0,27/04/17,53,0,1094.232005
search,01/06/17,15/06/17,PAR,DUB,2,1,27/04/17,35,14,786.431465
search,01/07/17,06/07/17,FRA,OSL,1,0,27/04/17,65,5,1139.913157
search,11/09/17,23/09/17,MUC,TLV,2,0,27/04/17,137,12,2654.853926
search,11/07/17,14/07/17,BER,DUB,1,0,27/04/17,75,3,1317.455316
book,15/09/17,22/09/17,DUS,DUB,2,0,27/04/17,141,7,915.6507211
book,07/06/17,13/06/17,PAR,RIO,2,0,27/04/17,41,6,9167.895514
search,15/05/17,19/05/17,CGN,BUD,2,0,27/04/17,18,4,955.9420133
search,17/05/17,19/05/17,FRA,LON,2,0,28/04/17,19,2,634.5939105
search,28/06/17,28/06/17,STR,TXL,2,0,27/04/17,62,0,517.9050151
search,10/06/17,11/07/17,PAR,MRS,2,1,27/04/17,44,31,659.767074
search,17/05/17,22/05/17,CGN,CPH,1,0,27/04/17,20,5,644.611046
search,05/10/17,20/10/17,FRA,IST,2,0,27/04/17,161,15,1869.824665
search,14/07/17,14/07/17,DUB,BER,1,0,27/04/17,78,0,1317.455316
book,28/04/17,01/05/17,NYC,DUS,1,0,27/04/17,1,3,6027.61189
search,15/11/17,19/11/17,DUS,ARN,4,0,27/04/17,202,4,1163.066651
search,23/06/17,30/06/17,PAR,TLV,1,0,27/04/17,57,7,3291.004608
search,23/09/17,28/10/17,TLS,ALG,1,0,24/04/17,152,35,786.391646
book,10/08/17,13/08/17,HAM,VIE,1,0,23/04/17,109,3,749.8505842
book,17/04/18,17/04/18,HAM,MOW,2,0,23/04/17,359,0,1784.246967
search,30/11/17,07/12/17,DUS,PMI,1,0,23/04/17,221,7,1340.644678
search,15/05/17,20/05/17,MUC,MAD,1,0,24/04/17,21,5,1496.162829
search,16/06/17,27/06/17,PAR,AGP,2,0,28/04/17,49,11,1463.77364
book,25/07/17,28/07/17,BER,AMS,4,0,28/04/17,88,3,577.3554835
book,10/05/17,12/05/17,STR,AYT,1,0,29/04/17,11,2,2176.500658
book,04/05/17,02/06/17,BER,HAN,1,0,28/04/17,6,29,8328.101358
book,01/08/17,06/08/17,HAM,MOW,2,0,28/04/17,95,5,1784.246967
book,09/08/17,29/09/17,HAN,PAR,1,0,28/04/17,103,51,9197.491229
search,23/05/17,23/05/17,DUS,SAW,3,0,28/04/17,25,0,2073.213213
search,08/05/17,12/05/17,HAM,MXP,1,0,28/04/17,10,4,894.2104501
search,10/05/17,10/05/17,MIL,PAR,1,0,28/04/17,12,0,639.5856777
search,02/05/17,02/05/17,SIN,DPS,2,0,29/04/17,3,0,1668.950444
search,28/06/17,02/07/17,HAM,MAD,2,0,28/04/17,61,4,1779.476267
search,01/06/17,09/06/17,FRA,BKK,1,0,28/04/17,34,8,8999.532145
search,01/06/17,22/06/17,BER,IST,2,0,28/04/17,34,21,1736.01118
book,27/07/17,27/07/17,YEA,YVR,1,0,29/04/17,89,0,828.6322907
search,25/06/17,25/06/17,ADB,AYT,2,0,28/04/17,58,0,347.5403318
search,08/02/18,20/02/18,DUS,AGP,3,1,29/04/17,285,12,1853.224916
search,18/10/17,20/10/17,MUC,BER,2,0,28/04/17,173,2,477.6345068
search,02/05/17,02/05/17,SIN,DPS,2,0,29/04/17,3,0,1668.950444
search,21/06/17,08/07/17,LYS,OPO,1,0,28/04/17,54,17,1215.312889
search,30/07/17,13/08/17,SXF,DUB,1,0,25/04/17,96,14,1328.106685
book,07/05/17,08/05/17,FRA,LHR,1,0,25/04/17,12,1,653.8771201
search,25/05/17,26/05/17,STR,MXP,1,0,26/04/17,29,1,342.1843583
search,17/07/17,17/07/17,TLV,PAR,2,0,25/04/17,83,0,3291.004608
book,11/05/17,25/05/17,BER,NYC,1,0,28/04/17,13,14,6385.76641
search,10/05/17,17/05/17,CGN,AYT,2,0,28/04/17,12,7,2440.354095
search,15/05/17,21/05/17,BER,OSL,1,0,28/04/17,17,6,864.5197221
search,10/06/17,15/06/17,HAM,LIS,2,0,28/04/17,43,5,2198.05822
search,26/06/17,29/06/17,CGN,PMI,1,0,28/04/17,59,3,1306.669402
search,15/05/17,20/05/17,MUC,ALC,2,0,28/04/17,17,5,1486.532699
search,21/06/17,28/06/17,DUS,PMI,2,0,29/04/17,53,7,1340.644678
search,20/06/17,23/06/17,FRA,BER,1,0,28/04/17,53,3,435.5455373
search,21/09/17,02/10/17,ATH,PAR,4,1,28/04/17,146,11,2112.758233
book,15/06/17,17/06/17,FRA,VIE,1,0,27/04/17,49,2,603.2922501
search,08/05/17,11/05/17,SXF,OSL,1,0,28/04/17,10,3,881.0301217
search,07/06/17,10/06/17,PAR,ROM,2,0,28/04/17,40,3,1106.735629
search,15/09/17,22/09/17,DUS,DUB,2,0,27/04/17,141,7,915.6507211
book,12/08/17,17/08/17,MUC,ROM,2,1,30/04/17,104,5,720.5277751
book,06/05/17,16/05/17,DUS,AYT,1,0,30/04/17,6,10,2471.043938
search,09/05/17,14/05/17,SHA,OSA,2,1,30/04/17,9,5,1375.733503
search,29/04/17,29/04/17,PAR,BCN,1,0,29/04/17,0,0,839.7878079
search,02/05/17,06/05/17,DUS,LON,1,0,29/04/17,3,4,481.9883184
search,02/05/17,02/05/17,PAR,NCE,1,0,29/04/17,3,0,685.9038717
search,01/05/17,01/05/17,ZRH,HAM,1,0,29/04/17,2,0,703.4520107
search,05/10/17,20/10/17,FRA,IST,2,0,27/04/17,161,15,1869.824665
search,23/05/17,24/06/17,PAR,IST,1,0,01/05/17,22,32,2253.463728
search,13/12/17,16/12/17,BER,ATH,2,0,01/05/17,226,3,1814.513556
book,05/06/17,05/06/17,ROM,HAM,2,0,01/05/17,35,0,1318.728729
book,12/09/17,19/09/17,LYS,LIS,2,2,01/05/17,134,7,1399.924928
search,02/06/17,05/06/17,MRS,PRG,1,0,02/05/17,31,3,1020.993364
search,20/07/17,22/07/17,DUS,PRG,2,0,01/05/17,80,2,554.6738043
search,17/05/17,20/05/17,HAM,BCN,1,0,24/04/17,23,3,1492.228532
book,20/10/17,25/10/17,MUC,OSL,2,0,24/04/17,179,5,1317.291606
search,08/05/17,10/05/17,DUS,ROM,1,0,23/04/17,15,2,1131.657511
search,04/05/17,25/05/17,HAM,MOW,1,0,23/04/17,11,21,1784.246967
search,16/08/17,04/09/17,DUS,PMI,2,0,23/04/17,115,19,1340.644678
search,24/05/17,24/05/17,DUS,BCN,1,0,24/04/17,30,0,1166.14992
search,05/06/17,10/06/17,PAR,LIS,3,2,23/04/17,43,5,1447.103771
search,22/09/17,22/09/17,NCE,HAM,2,0,29/04/17,146,0,1121.869848
search,27/07/17,30/07/17,DUS,LHR,3,0,28/04/17,90,3,502.0686243
book,26/06/17,28/06/17,MUC,BER,1,0,28/04/17,59,2,477.6345068
book,27/09/17,08/10/17,DUS,SVO,1,0,29/04/17,151,11,2068.009287
book,10/06/17,17/06/17,MUC,ICN,1,0,28/04/17,43,7,8500.40616
search,24/05/17,09/08/17,DUS,AYT,2,0,29/04/17,25,77,2471.043938
book,25/05/17,26/05/17,ORY,TLS,2,2,29/04/17,26,1,572.2819089
search,27/09/17,09/10/17,DUS,MOW,1,0,28/04/17,152,12,2085.574739
search,13/09/17,18/09/17,MUC,LON,2,2,28/04/17,138,5,923.680809
search,11/05/17,22/05/17,ALC,NCE,1,0,28/04/17,13,11,880.5035858
book,21/09/17,05/10/17,PAR,VCE,6,0,28/04/17,146,14,841.0907899
book,31/05/17,02/06/17,MUC,HAM,2,0,29/04/17,32,2,600.4217954
search,20/06/17,23/06/17,STR,BER,1,0,28/04/17,53,3,519.0756639
search,17/05/17,22/05/17,CGN,LHR,2,2,28/04/17,19,5,519.6186275
search,15/06/17,27/06/17,PAR,AGP,2,0,28/04/17,48,12,1463.77364
search,18/05/17,20/05/17,PAR,TLS,2,2,29/04/17,19,2,585.3951211
search,05/06/17,05/06/17,MIL,LYS,1,0,28/04/17,38,0,320.3782283
search,07/07/17,14/07/17,PAR,LIS,2,1,24/04/17,74,7,1447.103771
search,17/11/17,20/11/17,MUC,DUB,6,0,24/04/17,207,3,1381.70206
search,14/05/17,10/07/17,DUS,HYD,1,0,24/04/17,20,57,7252.421412
search,27/06/17,04/07/17,BER,NYC,2,0,25/04/17,63,7,6385.76641
search,03/07/17,10/07/17,PAR,OPO,2,2,25/04/17,69,7,1208.054213
search,04/05/17,12/05/17,NYC,CUN,1,0,25/04/17,9,8,2487.643767
search,09/08/17,20/09/17,FRA,AYT,2,1,25/04/17,106,42,2291.833701
search,14/07/17,17/07/17,FRA,LON,2,0,24/04/17,81,3,634.5939105
search,25/06/17,01/07/17,FRA,DXB,2,0,24/04/17,62,6,4844.0715
book,25/09/17,09/10/17,LYS,OPO,2,1,29/04/17,149,14,1215.312889
search,16/05/17,19/05/17,MUC,OSL,3,0,28/04/17,18,3,1317.291606
search,10/05/17,25/05/17,BER,NYC,1,0,28/04/17,12,15,6385.76641
search,08/05/17,25/05/17,STR,BER,1,0,28/04/17,10,17,519.0756639
search,03/11/17,24/11/17,FRA,BKK,1,0,28/04/17,189,21,8999.532145
search,27/05/17,02/06/17,PAR,BCN,1,0,28/04/17,29,6,839.7878079
search,30/04/17,10/05/17,PAR,MIL,1,0,28/04/17,2,10,639.5856777
search,27/09/17,08/10/17,DUS,MOW,1,0,28/04/17,152,11,2085.574739
search,20/06/17,23/06/17,FRA,BER,1,0,28/04/17,53,3,435.5455373
search,02/05/17,21/10/17,PAR,BLR,2,0,28/04/17,4,172,7848.937727
search,30/04/17,30/04/17,DUS,PAR,2,0,30/04/17,0,0,415.2550407
search,30/10/17,09/11/17,HAM,NBO,2,2,29/04/17,184,10,6598.200115
search,17/10/17,02/11/17,ORY,IST,2,1,30/04/17,170,16,2249.845513
search,23/05/17,23/05/17,SAW,CGN,1,0,29/04/17,24,0,2045.548581
book,09/06/17,14/06/17,CGN,ARN,1,0,30/04/17,40,5,1189.478894
book,22/11/17,30/11/17,FRA,ALC,2,0,29/04/17,207,8,1483.784046
book,15/06/17,22/06/17,PAR,OPO,4,0,29/04/17,47,7,1208.054213
book,22/05/17,22/05/17,BER,PAR,1,0,29/04/17,23,0,878.2979898
search,22/05/17,22/05/17,BER,PAR,1,0,29/04/17,23,0,878.2979898
search,03/05/17,03/05/17,IST,DUS,1,0,29/04/17,4,0,2042.454111
search,20/05/17,24/05/17,MUC,LON,2,1,29/04/17,21,4,923.680809
search,21/05/17,24/05/17,DUS,BER,3,0,29/04/17,22,3,475.7855288
search,18/05/17,18/05/17,TLS,BHX,1,0,30/04/17,18,0,1007.375444
search,02/05/17,02/05/17,MUC,DUS,2,0,29/04/17,3,0,485.4706673
search,30/05/17,01/06/17,DEL,BOM,2,0,30/04/17,30,2,1151.44729
search,05/06/17,20/06/17,MOW,DUS,1,0,23/04/17,43,15,2085.574739
search,29/10/17,06/11/17,CDG,ATH,2,0,24/04/17,188,8,2107.946302
book,09/05/17,10/05/17,CGN,MAN,2,0,23/04/17,16,1,683.6907162
search,29/05/17,31/05/17,DUS,PRG,1,0,23/04/17,36,2,554.6738043
search,19/09/17,19/09/17,SAW,AYT,1,0,23/04/17,149,0,459.663146
search,18/05/17,10/06/17,DUS,THR,1,0,23/04/17,25,23,3912.543224
search,08/06/17,22/06/17,PAR,SHA,1,0,30/04/17,39,14,9258.654442
search,29/05/17,06/06/17,CDG,JFK,1,0,29/04/17,30,8,5833.825696
search,14/05/17,13/06/17,FRA,SAW,2,0,29/04/17,15,30,1900.965282
search,06/07/17,15/07/17,MUC,PMI,1,0,29/04/17,68,9,1218.122503
search,19/03/18,05/04/18,AMS,BKK,2,0,29/04/17,324,17,9197.080688
search,24/06/17,28/06/17,HAM,DUB,1,0,29/04/17,56,4,1072.735876
search,13/06/17,17/06/17,DUS,HGH,1,0,29/04/17,45,4,8860.312515
book,17/06/17,21/06/17,FRA,OPO,2,0,27/04/17,51,4,1652.229257
book,24/05/17,26/05/17,PAR,LON,2,0,27/04/17,27,2,344.9646887
book,28/06/17,28/06/17,STR,TXL,2,0,27/04/17,62,0,517.9050151
search,01/08/17,05/08/17,HAM,MOW,2,0,27/04/17,96,4,1784.246967
search,13/09/17,12/10/17,FRA,BKK,3,1,28/04/17,138,29,8999.532145
search,15/09/17,18/09/17,MUC,LON,2,2,27/04/17,141,3,923.680809
search,25/07/17,25/07/17,YVR,LAX,2,2,27/04/17,89,0,1740.627952
search,11/06/17,14/06/17,PAR,MAD,1,2,27/04/17,45,3,1040.032544
search,30/04/17,30/04/17,LYS,LIS,1,0,27/04/17,3,0,1399.924928
search,30/04/17,04/05/17,ZRH,IST,1,0,27/04/17,3,4,1766.79793
search,21/11/17,24/11/17,MUC,PMI,2,0,27/04/17,208,3,1218.122503
book,17/09/17,11/10/17,PAR,ALG,2,1,24/04/17,146,24,1352.816166
search,08/05/17,10/05/17,DUS,ROM,1,0,23/04/17,15,2,1131.657511
search,04/05/17,20/05/17,PAR,ORY,1,0,24/04/17,10,16,13.36348586
search,31/10/17,31/10/17,PAR,AKL,1,0,23/04/17,191,0,18548.46151
search,17/05/17,31/05/17,DUS,NCE,2,0,23/04/17,24,14,843.6887986
search,14/12/17,17/12/17,BER,ATH,2,0,29/04/17,229,3,1814.513556
book,03/05/17,06/05/17,HAM,LGW,1,0,29/04/17,4,3,741.8813644
book,26/05/17,14/06/17,PAR,ZRH,1,0,30/04/17,26,19,488.6787025
search,29/05/17,12/06/17,PAR,ORL,3,0,30/04/17,29,14,7224.408651
search,02/08/17,09/08/17,NCE,VCE,2,0,29/04/17,95,7,448.4273149
search,23/06/17,30/06/17,BER,ATL,1,0,29/04/17,55,7,7588.763399
search,03/05/17,05/05/17,MUC,TXL,1,0,29/04/17,4,2,479.995499
book,01/06/17,03/06/17,BER,LON,2,0,30/04/17,32,2,934.9365926
search,03/05/17,03/05/17,IST,DUS,1,0,29/04/17,4,0,2042.454111
search,05/05/17,13/05/17,MUC,MIA,1,0,29/04/17,6,8,8043.779914
search,29/04/17,29/04/17,TXL,DUS,1,0,29/04/17,0,0,469.0573406
search,17/07/17,19/07/17,HAM,BRU,2,0,29/04/17,79,2,482.2074688
search,16/05/17,23/05/17,HAM,LON,2,0,29/04/17,17,7,725.6551971
book,28/08/17,11/09/17,BER,PMI,4,0,23/04/17,127,14,1658.215308
book,04/05/17,04/05/17,HAM,CGN,1,0,23/04/17,11,0,364.4887856
book,30/03/18,21/04/18,TXL,PER,2,0,24/04/17,340,22,13591.10907
search,23/04/17,05/05/17,BCN,ALG,1,0,23/04/17,0,12,520.7194623
search,30/04/17,05/05/17,MUC,MAN,1,0,23/04/17,7,5,1130.058451
search,19/05/17,23/05/17,DUS,PMI,1,0,23/04/17,26,4,1340.644678
search,07/06/17,10/06/17,CDG,NCE,1,0,23/04/17,45,3,692.3866599
search,13/05/17,23/05/17,FRA,PVG,1,0,23/04/17,20,10,8858.472052
search,26/04/17,26/04/17,TXL,STR,2,0,23/04/17,3,0,517.9050151
search,05/08/17,26/08/17,IST,STR,2,0,29/04/17,98,21,1768.314752
book,05/10/17,05/10/17,IST,BER,2,1,29/04/17,159,0,1736.01118
search,14/05/17,23/05/17,HAM,IST,3,0,27/04/17,17,9,1991.035916
search,04/05/17,05/05/17,ORY,LIS,1,0,27/04/17,7,1,1437.978415
search,19/11/17,29/11/17,HAM,PMI,2,2,27/04/17,206,10,1658.78585
search,12/12/17,20/12/17,FRA,ATH,2,0,27/04/17,229,8,1816.136901
search,19/10/17,26/10/17,HAM,MUC,2,0,27/04/17,175,7,600.4217954
search,26/06/17,30/06/17,FRA,EDI,2,0,27/04/17,60,4,1022.97733
search,30/04/17,04/05/17,ZRH,IST,1,0,27/04/17,3,4,1766.79793
search,26/06/17,29/06/17,CGN,PMI,1,0,28/04/17,59,3,1306.669402
search,09/05/17,12/05/17,GVA,HAM,1,0,29/04/17,10,3,870.3994143
search,21/08/17,05/09/17,AMS,LAD,1,0,29/04/17,114,15,6852.530266
