num_adults,num_children,days_before_plan,trip_duration,distance,origin_enc,destination_enc,event_type_enc
3,1,144,10,9436.724192316255,73,109,1
2,0,7,2,475.785528758249,73,21,0
2,0,324,17,9096.773110382825,73,26,1
2,0,4,2,481.9883183830375,73,142,1
1,0,5,3,1033.3600433953745,166,257,1
2,0,166,11,1340.6446776243747,73,197,1
2,0,82,7,1657.3969334500327,214,197,1
2,0,81,2,685.903871745599,166,173,1
2,0,0,0,415.2550407250247,73,190,1
1,0,88,14,2037.6395474930237,81,163,0
1,0,4,3,745.015609975934,89,139,1
1,0,23,0,2045.5485810382886,185,50,1
1,0,6,2,431.88281204267616,81,251,1
1,0,6,2,431.88281204267616,81,251,1
1,0,6,2,431.88281204267616,81,251,1
2,0,166,11,1340.6446776243747,73,197,1
2,0,51,4,1652.2292566151905,81,182,1
1,0,129,7,955.94201331325,45,36,1
2,0,33,0,517.9050151072023,200,251,1
2,1,43,3,659.767073975453,166,164,1
3,1,167,0,626.1055791177519,173,61,1
3,1,19,2,585.3951211464987,166,245,0
1,0,67,6,2365.1990431870913,73,87,1
2,2,200,16,6198.492311203616,81,178,1
2,0,0,0,737.1027319831703,125,235,1
1,0,29,6,839.7878078629986,166,20,1
2,0,47,1,600.4217953856755,89,168,1
1,0,53,3,435.5455373345045,81,21,1
2,0,4,2,481.9883183830375,73,142,0
1,0,4,0,703.4520107495878,89,275,0
2,0,17,7,1492.2285319376274,89,20,1
1,0,208,7,1905.1845921171835,18,8,1
2,0,61,7,1658.2153082400275,18,197,1
2,0,57,0,7087.160305649924,48,21,1
1,0,20,0,2045.5485810382886,185,50,1
2,0,79,3,839.7878078629986,166,20,1
2,0,154,4,794.8380307077732,89,23,0
1,0,63,4,810.5622399637498,148,61,0
3,0,23,7,4844.07150039047,81,85,1
2,0,92,4,1658.7858501780258,89,197,1
2,0,15,4,1137.3194377817508,190,103,1
2,0,231,5,2112.75823321251,166,14,1
2,0,38,6,2042.4541112865993,73,118,1
2,0,104,8,1091.0725625697346,45,208,1
1,0,2,0,915.6507210634659,73,82,1
2,0,27,2,344.9646886683461,166,142,1
1,0,20,0,7464.668968932148,73,171,1
2,0,48,4,2198.058219832241,89,141,1
2,1,94,0,1992.689779893623,92,100,1
2,0,50,5,915.6507210634659,73,82,1
1,0,5,0,1768.3147518636633,200,118,1
2,1,74,7,1447.1037712513842,166,141,1
1,0,35,0,1768.3147518636633,104,235,1
1,0,103,0,1800.0297206659268,200,212,1
2,0,56,0,1757.4256927385509,107,159,1
2,0,33,4,1183.9305465627483,18,208,1
1,0,1,3,810.6752938754994,89,149,1
2,0,64,3,499.7555160959635,45,142,1
1,0,14,0,662.3415475765808,9,168,1
1,0,1,3,810.6752938754994,89,149,1
1,0,40,6,1189.4788938149552,45,13,1
3,0,70,8,2085.574738824673,73,163,0
2,0,212,3,531.2933231958251,200,257,0
2,0,18,4,481.9883183830375,73,142,1
4,0,51,2,768.8327305245164,73,257,1
1,0,1,3,6027.611890464817,156,84,1
2,0,40,3,1106.7356286832642,166,208,1
1,0,13,0,342.7242280394801,214,61,1
5,0,48,5,1196.2990055915284,18,91,1
2,0,164,3,478.5795163902355,18,50,1
2,0,180,7,2243.639569027784,203,5,1
2,0,13,9,2196.956894015903,18,18,1
2,0,179,16,1486.0749548427432,42,5,0
2,0,212,3,531.2933231958251,200,257,1
2,1,16,2,431.88281204267616,81,251,1
4,0,53,0,1094.2320053940605,148,20,1
2,1,35,14,786.4314650244364,166,82,1
1,0,65,5,1139.9131569292506,81,187,1
2,0,137,12,2654.853925706632,148,246,1
1,0,75,3,1317.4553157169798,18,82,1
2,0,141,7,915.6507210634659,73,82,0
2,0,41,6,9167.895513598858,166,207,0
2,0,18,4,955.94201331325,45,36,1
2,0,19,2,634.5939105120597,81,142,1
2,0,62,0,517.9050151072023,200,251,1
2,1,44,31,659.767073975453,166,164,1
1,0,20,5,644.6110460389218,45,61,1
2,0,161,15,1869.8246648049528,81,118,1
1,0,78,0,1317.4553157169798,71,21,1
1,0,1,3,6027.611890464817,156,84,0
4,0,202,4,1163.0666509959556,73,13,1
1,0,57,7,3291.004607652178,166,246,1
1,0,152,35,786.3916459605509,209,9,1
1,0,109,3,749.850584150052,89,257,0
2,0,359,0,1784.2469673630374,89,163,0
1,0,221,7,1340.6446776243747,73,197,1
1,0,21,5,1496.1628290648227,148,148,1
2,0,49,11,1463.773640132817,166,5,1
4,0,88,3,577.3554834628349,18,10,0
1,0,11,2,2176.500657775716,200,18,0
1,0,6,29,8328.101357860385,18,103,0
2,0,95,5,1784.2469673630374,89,163,0
1,0,103,51,9197.491229047806,90,190,0
3,0,25,0,2073.2132125971075,73,212,1
1,0,10,4,894.2104501333301,89,169,1
1,0,12,0,639.5856776746692,140,190,1
2,0,3,0,1668.9504442486643,192,79,1
2,0,61,4,1779.4762665575993,89,148,1
1,0,34,8,8999.53214509557,81,26,1
2,0,34,21,1736.011179664354,18,118,1
1,0,89,0,828.6322906789675,226,271,0
2,0,58,0,347.5403317604679,1,18,1
3,1,285,12,1853.2249155339043,73,5,1
2,0,173,2,477.6345068146655,148,21,1
2,0,3,0,1668.9504442486643,192,79,1
1,0,54,17,1215.3128893690316,129,182,1
1,0,96,14,1328.1066854885037,203,82,1
1,0,12,1,653.8771201057835,81,139,0
1,0,29,1,342.18435825700954,200,169,1
2,0,83,0,3291.004607652178,210,190,1
1,0,13,14,6385.766410038631,18,178,0
2,0,12,7,2440.354095008838,45,18,1
1,0,17,6,864.5197221477224,18,187,1
2,0,43,5,2198.058219832241,89,141,1
1,0,59,3,1306.669402457686,45,197,1
2,0,17,5,1486.5326993089761,148,8,1
2,0,53,7,1340.6446776243747,73,197,1
1,0,53,3,435.5455373345045,81,21,1
4,1,146,11,2112.75823321251,12,190,1
1,0,49,2,603.2922501059201,81,257,0
1,0,10,3,881.0301216914933,203,187,1
2,0,40,3,1106.7356286832642,166,208,1
2,0,141,7,915.6507210634659,73,82,1
2,1,104,5,720.5277751099085,148,208,0
1,0,6,10,2471.0439380745206,73,18,0
2,1,9,5,1375.7335025285831,191,186,1
1,0,0,0,839.7878078629986,166,20,1
1,0,3,4,481.9883183830375,73,142,1
1,0,3,0,685.903871745599,166,173,1
1,0,2,0,703.4520107495878,235,102,1
2,0,161,15,1869.8246648049528,81,118,1
1,0,22,32,2253.463728010883,166,118,1
2,0,226,3,1814.5135561294073,18,14,1
2,0,35,0,1318.7287289660217,180,102,0
2,2,134,7,1399.9249281637285,129,141,0
1,0,31,3,1020.9933636364696,144,200,1
2,0,80,2,554.6738042558483,73,200,1
1,0,23,3,1492.2285319376274,89,20,1
2,0,179,5,1317.291606063393,148,187,0
1,0,15,2,1131.6575114063335,73,208,1
1,0,11,21,1784.2469673630374,89,163,1
2,0,115,19,1340.6446776243747,73,197,1
1,0,30,0,1166.1499196406728,73,20,1
3,2,43,5,1447.1037712513842,166,141,1
2,0,146,0,1121.8698481294002,153,102,1
3,0,90,3,502.0686242500041,73,139,1
1,0,59,2,477.6345068146655,148,21,0
1,0,151,11,2068.0092866636146,73,237,0
1,0,43,7,8500.40616006502,148,116,0
2,0,25,77,2471.0439380745206,73,18,1
2,2,26,1,572.2819088776124,161,245,0
1,0,152,12,2085.574738824673,73,163,1
2,2,138,5,923.6808090047898,148,142,1
1,0,13,11,880.5035858273596,7,173,1
6,0,146,14,841.0907898964697,166,255,0
2,0,32,2,600.4217953856755,148,102,0
1,0,53,3,519.0756638822033,200,21,1
2,2,19,5,519.6186274878758,45,139,1
2,0,48,12,1463.773640132817,166,5,1
2,2,19,2,585.3951211464987,166,245,1
1,0,38,0,320.3782282804776,140,146,1
2,1,74,7,1447.1037712513842,166,141,1
6,0,207,3,1381.7020601580798,148,82,1
1,0,20,57,7252.421412111447,73,113,1
2,0,63,7,6385.766410038631,18,178,1
2,2,69,7,1208.0542127999213,166,182,1
1,0,9,8,2487.6437672274906,156,66,1
2,1,106,42,2291.833700655045,81,18,1
2,0,81,3,634.5939105120597,81,142,1
2,0,62,6,4844.07150039047,81,85,1
2,1,149,14,1215.3128893690316,129,182,0
3,0,18,3,1317.291606063393,148,187,1
1,0,12,15,6385.766410038631,18,178,1
1,0,10,17,519.0756638822033,200,21,1
1,0,189,21,8999.53214509557,81,26,1
1,0,29,6,839.7878078629986,166,20,1
1,0,2,10,639.5856776746692,166,160,1
1,0,152,11,2085.574738824673,73,163,1
1,0,53,3,435.5455373345045,81,21,1
2,0,4,172,7848.937726910302,166,27,1
2,0,0,0,415.2550407250247,73,190,1
2,2,184,10,6598.200115454837,89,172,1
2,1,170,16,2249.8455125459222,161,118,1
1,0,24,0,2045.5485810382886,185,50,1
1,0,40,5,1189.4788938149552,45,13,0
2,0,207,8,1483.7840457463226,81,8,0
4,0,47,7,1208.0542127999213,166,182,0
1,0,23,0,878.2979897530255,18,190,0
1,0,23,0,878.2979897530255,18,190,1
1,0,4,0,2042.4541112865993,104,84,1
2,1,21,4,923.6808090047898,148,142,1
3,0,22,3,475.785528758249,73,21,1
1,0,18,0,1007.375444381183,209,23,1
2,0,3,0,485.47066732558585,148,84,1
2,0,30,2,1151.4472903730632,61,31,1
1,0,43,15,2085.574738824673,143,84,1
2,0,188,8,2107.94630193146,42,14,1
2,0,16,1,683.6907161648859,45,149,0
1,0,36,2,554.6738042558483,73,200,1
1,0,149,0,459.6631459570326,185,18,1
1,0,25,23,3912.5432244573426,73,244,1
1,0,39,14,9258.654441758445,166,219,1
1,0,30,8,5833.825696317516,42,121,1
2,0,15,30,1900.965281706636,81,212,1
1,0,68,9,1218.1225032774942,148,197,1
2,0,324,17,9197.080688493781,9,26,1
1,0,56,4,1072.7358763696948,89,82,1
1,0,45,4,8860.312515443182,73,107,1
2,0,51,4,1652.2292566151905,81,182,0
2,0,27,2,344.9646886683461,166,142,0
2,0,62,0,517.9050151072023,200,251,0
2,0,96,4,1784.2469673630374,89,163,1
3,1,138,29,8999.53214509557,81,26,1
2,2,141,3,923.6808090047898,148,142,1
2,2,89,0,1740.627952307783,231,135,1
1,2,45,3,1040.03254359256,166,148,1
1,0,3,0,1399.9249281637285,129,141,1
1,0,3,4,1766.7979304095168,235,118,1
2,0,208,3,1218.1225032774942,148,197,1
2,1,146,24,1352.8161655242184,166,9,0
1,0,15,2,1131.6575114063335,73,208,1
1,0,10,16,13.363485855577231,166,185,1
1,0,191,0,18548.461506982625,166,6,1
2,0,24,14,843.688798603494,73,173,1
2,0,229,3,1814.5135561294073,18,14,1
1,0,4,3,741.8813643635798,89,138,0
1,0,26,19,488.6787025464547,166,275,0
3,0,29,14,7224.4086509507515,166,184,1
2,0,95,7,448.4273149010676,153,255,1
1,0,55,7,7588.763398902755,18,15,1
1,0,4,2,479.99549901512796,148,251,1
2,0,32,2,934.9365925922027,18,142,0
1,0,4,0,2042.4541112865993,104,84,1
1,0,6,8,8043.779913550423,148,159,1
1,0,0,0,469.05734057519487,214,84,1
2,0,79,2,482.20746877115215,89,34,1
2,0,17,7,725.6551971414706,89,142,1
4,0,127,14,1658.2153082400275,18,197,0
1,0,11,0,364.4887855611681,89,50,0
2,0,340,22,13591.109073017122,214,193,0
1,0,0,12,520.7194623072484,17,9,1
1,0,7,5,1130.058451480812,148,149,1
1,0,26,4,1340.6446776243747,73,197,1
1,0,45,3,692.3866598709859,42,173,1
1,0,20,10,8858.472052459989,81,202,1
2,0,3,0,517.9050151072023,214,235,1
2,0,98,21,1768.3147518636633,104,235,1
2,1,159,0,1736.011179664354,104,21,0
3,0,17,9,1991.0359162732968,89,118,1
1,0,7,1,1437.9784147329353,161,141,1
2,2,206,10,1658.7858501780258,89,197,1
2,0,229,8,1816.1369013028796,81,14,1
2,0,175,7,600.4217953856755,89,168,1
2,0,60,4,1022.9773297338119,81,86,1
1,0,3,4,1766.7979304095168,235,118,1
1,0,59,3,1306.669402457686,45,197,1
1,0,10,3,870.3994142642557,88,102,1
1,0,114,15,6852.530265874471,9,133,1
1,0,48,0,1757.5204248853302,156,159,1
3,1,286,12,1853.2249155339043,73,5,1
4,0,117,8,685.903871745599,153,190,1
2,0,141,27,786.3916459605509,209,9,1
1,0,71,0,1093.5366474678003,17,93,1
2,0,26,26,8999.53214509557,81,26,0
1,0,1,3,842.8945041649839,18,160,0
1,0,90,0,1496.1628290648227,131,168,0
1,0,16,2,1366.3079026670998,148,117,1
2,0,58,20,8999.53214509557,81,26,1
2,0,116,8,1658.2153082400275,18,197,1
1,0,2,8,1352.8161655242184,166,9,0
1,0,17,0,1658.7858501780258,89,197,1
1,0,1,3,842.8945041649839,18,160,1
2,0,26,27,9096.773110382825,73,26,1
2,0,154,4,794.8380307077732,89,23,1
2,0,46,2,552.0490359204092,200,102,1
1,0,20,0,933.0487462583889,32,102,1
2,0,34,7,1218.1225032774942,148,197,0
2,0,35,9,8999.53214509557,81,26,1
1,0,3,0,479.99549901512796,214,168,1
2,0,10,5,3528.5240025076773,89,144,1
2,0,155,3,342.7242280394801,214,61,1
1,0,123,6,1511.7723918299248,18,20,1
1,0,18,5,838.9319914864373,214,169,1
2,0,71,2,531.2933231958251,200,257,1
2,0,164,3,478.5795163902355,18,50,1
2,0,217,8,6027.611890464817,73,178,1
2,0,103,17,9341.455199369679,148,252,0
2,0,25,3,910.9484124870188,148,233,1
1,0,116,0,1658.7858501780258,89,197,1
2,0,82,3,1072.7358763696948,89,82,1
2,0,102,4,453.4699256107557,73,275,1
1,0,38,0,320.3782282804776,140,146,1
3,0,29,14,7224.4086509507515,166,184,1
2,1,170,16,2249.8455125459222,161,118,1
1,2,15,4,519.0756638822033,18,235,0
1,0,10,6,5203.679243629726,18,143,0
1,0,1,0,8556.645650144685,148,73,1
1,0,11,3,469.05734057519487,214,84,1
1,0,11,0,641.5568392623438,136,3,1
2,0,30,2,1151.4472903730632,61,31,1
1,0,11,3,469.05734057519487,214,84,1
1,0,10,2,685.903871745599,166,173,1
2,0,60,6,1869.8246648049528,81,118,0
2,0,22,2,552.0490359204092,200,102,1
2,0,30,0,1420.80586291146,131,93,1
2,0,58,3,1082.2683382802452,81,97,0
1,0,16,2,662.3415475765808,148,10,1
1,0,49,6,1874.0031895165148,81,141,1
1,0,37,37,8362.97475611651,91,21,1
2,0,24,77,2471.0439380745206,73,18,1
1,0,16,4,881.997344135459,166,200,1
2,0,82,7,670.7711817779243,203,36,1
3,0,13,11,7723.878217433155,148,25,1
1,0,20,6,872.3085800299762,45,86,1
2,0,95,0,1668.9504442486643,192,79,1
1,0,40,4,1657.3969334500327,214,197,1
3,0,90,3,502.0686242500041,73,139,0
2,2,200,16,6198.492311203616,81,178,0
1,0,163,158,9232.36454639576,200,62,1
2,0,3,7,1578.0273989056577,148,118,1
2,2,20,4,519.6186274878758,45,139,1
2,0,3,0,1668.9504442486643,192,79,1
2,0,102,4,453.4699256107557,73,275,1
1,0,14,0,2198.058219832241,89,141,1
1,0,90,3,502.0686242500041,73,139,1
2,0,33,0,485.47066732558585,148,84,0
2,0,49,2,836.5830061002276,73,86,0
2,0,97,7,1845.1503254985605,45,141,1
2,0,21,0,1668.9504442486643,68,223,1
1,0,146,28,1942.2894650086175,65,168,1
2,0,117,0,1757.4256927385509,107,159,0
1,0,23,0,878.2979897530255,18,190,1
1,0,6,0,2075.663460566811,143,235,1
1,0,9,9,9235.5758620482,153,26,1
2,0,34,7,1218.1225032774942,148,197,1
2,0,58,2,552.0490359204092,89,235,0
1,0,4,12,1668.9504442486643,192,79,1
1,0,96,13,1631.5352221866817,214,75,1
2,1,125,11,1817.7570794230262,81,5,1
3,0,25,0,1420.80586291146,81,148,1
2,0,11,2,647.1232854159775,161,164,1
1,0,8,7,6124.002964601738,81,71,1
2,0,6,0,694.0904176689459,23,109,1
1,0,72,8,2192.264369837725,89,5,0
1,0,13,9,2196.956894015903,18,18,1
1,0,254,11,8798.974225913844,148,26,1
2,0,98,0,1340.6446776243747,171,84,0
2,0,125,0,7450.462839189021,160,84,0
1,0,4,4,1106.7356286832642,166,208,0
3,0,89,0,1855.3732634792686,4,168,1
3,0,76,4,662.3415475765808,148,10,1
2,0,152,36,6710.938643407798,28,84,1
1,0,2,0,870.3994142642557,88,102,1
1,0,3,0,479.99549901512796,214,168,1
3,0,171,9,1381.7020601580798,148,82,1
2,0,57,4,3181.8045713133483,81,243,1
2,0,137,3,805.6647479415601,200,61,1
1,0,18,5,838.9319914864373,214,169,0
2,0,71,2,531.2933231958251,200,257,1
2,0,141,7,915.6507210634659,73,82,1
3,0,33,0,1405.6274025111088,218,148,0
2,0,63,4,1779.4762665575993,89,148,0
1,0,10,0,1578.0273989056577,148,118,1
1,0,20,5,644.6110460389218,45,61,1
2,2,65,5,1024.6897374539076,18,23,1
1,0,57,3,472.4230286615562,214,50,1
2,0,114,2,1106.7356286832642,166,208,1
1,0,9,0,669.6288740937291,18,275,1
1,0,37,2,502.1009653290821,153,20,1
1,2,23,4,435.5455373345045,81,21,1
2,0,19,2,634.5939105120597,81,142,1
2,0,79,4,810.5622399637498,148,61,1
1,0,114,15,6852.530265874471,9,133,1
1,0,67,28,5818.932239057791,89,32,1
1,0,68,6,2370.6997230609836,73,12,1
2,2,26,1,572.2819088776124,161,245,1
2,0,10,2,695.9373439794591,148,190,1
1,0,16,3,768.8327305245164,73,257,0
1,0,60,6,1869.8246648049528,81,118,1
1,0,220,0,9387.444235788284,55,93,1
2,0,175,1,600.4217953856755,89,168,1
2,0,19,7,1315.1124218469026,200,234,1
2,0,70,10,6027.611890464817,73,178,1
2,2,213,11,1658.7858501780258,89,197,1
2,2,89,0,1740.627952307783,231,135,1
3,1,35,17,5837.819961979759,166,178,1
1,0,40,0,1327.1841624518397,79,102,1
3,0,109,0,519.0756638822033,18,235,1
1,0,122,0,5853.199797677632,107,10,1
1,0,16,3,2253.463728010883,166,118,1
2,0,13,12,1281.650252918135,109,62,1
1,0,5,0,477.6345068146655,18,168,1
2,0,36,20,8798.974225913844,148,26,1
2,0,51,2,519.0756638822033,200,21,1
1,0,17,4,993.3555314509433,200,20,1
2,0,32,0,1886.4902496325756,39,190,1
1,0,71,4,473.0682745948962,209,100,1
3,0,108,0,519.0756638822033,200,21,0
2,0,36,3,1027.3058691155686,166,61,0
1,0,12,0,8362.97475611651,91,21,1
1,0,3,63,7061.675997425295,200,113,1
1,0,41,7,685.903871745599,153,190,1
1,0,5,1,1218.1225032774942,148,197,1
2,0,125,34,8999.53214509557,81,26,1
4,2,24,0,1736.011179664354,104,21,1
1,0,38,7,10240.677784829848,209,252,1
1,0,40,4,1657.3969334500327,214,197,1
2,0,20,5,737.1027319831703,200,142,1
2,0,176,20,9394.110084612075,144,26,1
1,0,23,0,1200.0382152977347,161,182,1
2,2,26,1,572.2819088776124,161,245,1
1,0,75,3,1317.4553157169798,18,82,1
2,0,81,0,2128.4031809752387,47,239,1
4,0,19,6,2941.8669478572538,61,26,1
2,0,175,7,600.4217953856755,89,168,1
2,0,23,7,6385.766410038631,18,178,1
4,0,60,0,1609.9850270728807,158,50,1
1,0,4,0,878.2979897530255,166,21,1
2,2,89,0,1740.627952307783,231,135,1
2,0,164,3,478.5795163902355,18,50,1
1,0,185,1,1578.0273989056577,148,118,1
4,0,70,5,662.3415475765808,148,10,0
1,0,16,2,377.15009130071513,148,160,0
2,0,177,2,451.24394970502516,148,50,1
2,0,16,0,475.785528758249,73,21,1
1,0,49,4,671.2900468743612,73,160,1
2,0,51,2,519.0756638822033,200,21,1
2,0,104,8,1091.0725625697346,45,208,1
2,0,18,4,955.94201331325,45,36,1
1,0,22,0,760.5975740024734,89,185,0
1,0,75,3,1317.4553157169798,18,82,0
3,1,107,21,6525.974830219062,81,259,1
1,0,81,0,18133.598350456334,148,6,1
1,0,32,10,5325.776658646343,45,152,1
1,0,107,18,9134.959128359305,81,217,1
1,0,40,4,1657.3969334500327,214,197,1
1,0,67,28,5818.932239057791,89,32,0
1,0,48,0,1757.5204248853302,156,159,1
1,0,135,7,1163.0666509959556,73,13,1
2,0,20,5,737.1027319831703,200,142,1
2,0,1,0,724.8177373858323,121,235,1
1,0,67,6,2370.6997230609836,73,12,1
5,0,22,8,4844.07150039047,81,85,0
1,0,53,4,1538.3838081425642,153,14,0
3,0,64,14,1094.2320053940605,148,20,1
3,0,14,8,477.6345068146655,148,21,1
1,0,1,92,9817.901905339188,81,211,1
2,0,47,14,2112.75823321251,166,14,1
2,0,137,3,805.6647479415601,200,61,1
2,0,94,2,1166.1499196406728,73,20,0
2,0,5,8,6874.106361687769,73,129,0
2,1,166,13,2491.9013301296154,166,163,0
1,0,22,6,4911.701732589631,148,152,1
1,0,129,0,1521.3433219703106,107,151,1
2,0,31,15,8798.974225913844,148,26,1
2,0,10,5,3528.5240025076773,89,144,1
2,0,11,2,647.1232854159775,161,164,1
1,0,1,0,1544.7717940488183,166,234,1
2,0,7,0,552.0490359204092,89,235,1
2,0,10,2,856.540582209406,18,46,1
2,0,111,5,1330.494799816716,203,136,1
1,0,151,0,810.7215835619496,199,21,1
2,0,16,4,464.5764228122389,203,168,1
1,0,9,2,910.2783615013618,89,160,1
1,0,108,6,723.4761982219546,45,255,0
2,0,16,3,655.630922123061,73,149,1
1,1,161,7,1453.746934378397,81,38,1
1,0,7,36,732.5172249951619,89,187,1
1,0,67,7,1218.1225032774942,148,197,1
1,0,129,21,8087.674238141447,81,72,1
4,2,23,0,1736.011179664354,104,21,1
1,0,158,4,503.3571780177321,227,269,1
1,0,4,0,878.2979897530255,166,21,1
4,0,56,7,3291.004607652178,166,246,1
2,0,16,3,749.1461443246882,148,164,1
3,1,18,5,947.040100506843,214,139,1
1,0,20,0,3189.538407357942,127,84,1
3,0,29,14,7224.4086509507515,166,184,1
3,0,157,0,2073.2132125971075,73,212,1
1,0,0,2,1200.0382152977347,161,182,1
1,0,141,9,1451.9860345759382,161,5,1
1,0,1,0,711.733085684785,81,173,1
2,0,114,16,8731.40931521298,81,103,1
1,0,68,28,5818.932239057791,89,32,1
2,0,175,0,1486.0749548427432,42,5,1
2,0,182,14,1861.5099684128982,73,141,1
3,0,7,7,9179.597529156057,235,134,1
2,0,19,7,1218.1225032774942,148,197,0
4,0,12,6,1658.7858501780258,89,197,1
2,0,64,3,499.7555160959635,45,142,1
2,0,101,14,2107.441360510455,200,12,1
2,0,2,2,749.850584150052,89,257,1
1,0,90,0,1306.669402457686,171,50,1
1,0,40,21,9087.028949517582,89,135,1
1,0,99,3,896.9774493608257,81,260,1
2,0,56,10,1845.1503254985605,45,141,1
1,0,13,7,1984.0602411858815,148,141,1
1,0,154,0,703.4011757023293,4,197,0
1,0,19,26,9172.821296967011,148,62,1
2,0,71,7,8803.843540734824,73,103,1
5,0,89,10,8632.943859247202,214,26,1
1,0,2,29,519.0756638822033,200,21,1
2,3,143,10,762.5386734136413,73,255,1
3,0,11,4,678.5698428022235,81,61,1
1,0,35,3,9041.879786716485,89,123,1
5,0,89,10,8632.943859247202,214,26,1
1,0,140,8,1753.3006307169323,148,136,1
1,0,61,14,7833.474079874079,18,184,1
1,0,12,13,10164.372681570207,148,162,1
2,0,216,11,5999.485415417207,18,267,1
1,0,19,26,9172.821296967011,148,62,1
2,0,24,4,777.7583700261619,148,260,1
2,0,6,3,878.2979897530255,18,190,1
1,0,20,4,6598.200115454837,89,172,0
1,0,20,2,749.850584150052,89,257,0
1,0,5,3,1905.1845921171835,18,8,1
2,3,29,2,600.4217953856755,148,102,1
4,0,0,0,1800.0297206659268,200,212,1
2,0,86,3,1537.8423878116464,81,105,1
2,0,269,15,8999.53214509557,81,26,1
2,0,53,16,1938.3229879502992,148,163,0
1,0,4,2,2085.574738824673,143,84,1
2,0,60,9,9628.917839362384,166,108,1
2,0,150,0,5862.6854455941975,9,178,1
1,0,18,0,485.47066732558585,148,84,1
1,0,1,14,8999.53214509557,81,26,1
6,0,152,1,536.180956530231,45,200,1
1,0,99,3,896.9774493608257,81,260,0
1,0,59,3,751.127686965764,89,190,1
4,0,161,7,864.6885591252103,209,182,1
1,0,80,10,8878.345873280514,200,219,1
1,0,73,4,2019.2417608871206,166,117,0
1,0,19,0,10297.106690987392,142,93,1
1,0,20,0,2002.0044627959094,73,14,1
1,0,107,1,435.5455373345045,18,93,1
1,0,38,2,1768.3147518636633,104,235,1
2,0,2,0,1613.6569668062257,143,21,1
1,0,88,0,630.4102488289012,45,160,1
2,0,25,2,639.5856776746692,166,160,1
2,0,59,3,923.6808090047898,148,142,1
2,0,143,23,1578.0273989056577,148,118,1
2,0,6,3,804.1223872560355,89,234,1
1,0,31,2,1768.3147518636633,104,235,1
1,0,32,16,4007.2074822821987,18,158,1
4,0,161,7,864.6885591252103,209,182,1
1,0,10,0,485.47066732558585,73,168,1
2,0,148,0,6198.492311203616,81,178,1
1,0,21,7,3189.538407357942,73,144,1
1,0,266,9,8625.375162497063,18,26,1
